NOME;DATE;PROVENIENZA;ATTIVITA';ANNI DI CONTATTO CON TARTINI;CONTATTI CON TERZI;TESTIMONIANZA DI TARTINI;TESTIMONIANZA DELL'ALLIEVO SU TARTINI;TESTIMONIANZE DI TERZI;ANCHE COMPOSITORE;EPISTOLARIO TARTINI;EITNER;RIEMANN;MGG;NGD;GMO;FETIS;DIC;DUM;DEUMM;DBI;FONTI;NOTE;SONATE A 3;SONATE A 4;ALTRE COMPOSIZIONI;SCRITTI;RISM;MGG2
PUGNANI, Gaetano;1731-1798;Turin (Italy);"Roma; Parigi; Londra; Torino. Tournée: Genf, Berna, Dresda, Berlino, Varsavia, St. Pietroburgo; Napoli, Vienna";;"Studiò anche con Tommaso Gelosio e Somis; con Ciampi contrappunto. Si perfezionò con Bini. Fu maestro di Viotti, Borghi, Bruni, Polledro; frequentò Johann Christian Bach, il violoncellista Backmann e il fagottista Bullaudt";;;;X;;EIT;RIE;MGG;;;;DIC;DUM;DEU;DBI;"REUCHSEL, 1907; DOUNIAS, 1935; ";"Secondo Eitner è allievo di Tartini. Schmidl scrive che ""non è affermabile che avesse studiato a Padova con Tartini""";"
6 Sonate [53-58] für 2 V. und B.c. op. 2, Paris [1761-1762?], London [1763-1765?]; als op. 3, Paris [1764?], Amsterdam [1763-1765]
6 Sonatas [82-87] für Cemb., V./Fl. und Vc., London [1767-1768]; als op. 6, Paris [um 1766-1770], Amsterdam [1770], London [um 1776-1780]
6 Sonate [118-123] für 2 V. op. 4, Amsterdam [1764], London [um 1768-1770]; als op. 5, Paris [um 1765-1769]; als op. 13, Paris [1776]";;"Betulia liberata [1] (Metastasio), Or. 2 Akte, D-B, P-La, RUS-SPsc (Singstimmen)
Amore e Psiche [8] (Vittorio Amedeo Cigna-Santi), Kant. für 2 S und Orch., Turin 1755, D-Dl
La scomessa [9], Kant. für 2 S, Chor und Orch., Berlin 1780, D-B
» Al luminoso raggio« [10a], Arie für S und Orch., D-B
»Cari quegl’occhi languidi« [10b], Arie für S und Orch., A-Wgm, I-Tco
»Se per te vuoi« [10c], Arie für S und Orch., D-Dl

Nanetta e Lubino [2] (Carlo Francesco Badini), op.buf. (8. April 1769 London, King’s Theatre; rev. als Annetta e Lubino, 1780 Warschau), D-B, I-Vlevi, US-Wc; Overture und Favourite Songs, London [1769]
Issea [3] (Vittorio Amedeo Cigna-Santi), favola pastorale 2 Akte (8. April 1771 Turin, Teatro regio; zur Hochzeit von Maria Josepha von Savoyen mit dem künftigen Ludwig XVIII; rev. als Apollo e Issea, 30. März 1773 London), D-B, P-La (1. Akt), P-VV (2. Akt)
Tamas Kouli-Kan nell’India (Vittorio Amedeo Cigna-Santi), op.ser. 3 Akte (1. Febr. 1772 Turin, Teatro regio), P-La
L’Aurora (Gian Domenico Boggio), festa teatrale 2 Akte (2. Okt. 1775 Turin, Teatro regio; zur Hochzeit von dem künftigen Karl Emanuel IV. von Savoyen mit Clothilde von Frankreich), I-Rsc (1. Akt), P-La
Adone e Venere [4] (Gabriele Boltri), op.ser. 3 Akte (12. Jan. 1784 Neapel, Teatro S. Carlo), D-B, I-Nc (3. Akt), I-Nu (1. und 2. Akt), I-Tf, P-La
Achille in Sciro [5] (Metastasio, rev. Vittorio Amedeo Cigna-Santi), op.ser. 3 Akte (15. Jan. 1785 Turin, Teatro regio), CH-N, F-Pn (unvollst.), I-Tf, P-La, RUS-SPsc
Demofoonte [6] (Metastasio), op.ser. 3 Akte (26. Dez. 1787 Turin, Teatro regio), F-Pn (1. Akt), P-La
Demetrio a Rodi [7] (Gian Domenico Boggio), festa teatrale 2 Akte (2. Mai 1789 Turin, Teatro regio; zur Hochzeit von dem künftigen Viktor Emanuel I. von Savoyen mit Maria Theresia von Österreich-Este), P-Ln

6 Overtures in 8 parts [18, 28, 31, 33, 19, 29] für 2 Ob., 2 Hr., 2 V., Va. und B.c. op. 4, London [1768?], Paris [1766?]; [19] London [1767?]
A Second Sett of 6 Overtures in 8 parts [13, 20, 34, 21, 32, 22] für 2 Ob., 2 Hr., 2 V., Va. und B.c. op. 8, London [1769?]; als op. 9, Paris [1769-1770]
3 Quintetti [25, 11, 27] für 2 Fl./Ob., 2 Hr., 2 V., Va. und B.c., Amsterdam [1762]; London [um 1765-1770]; in 6 Pièces à plusieurs parties, Paris [um 1763-1775]
A Second Set of 3 Quintets [26, 12, 17] für 2 Fl./Ob., 2 Hr. ad lib., 2 V. und B.c., London 1773; als op. 7, Amsterdam [1773]; als op. 11, Paris [1774]
Quintetto [24] für 2 Ob., 2 Hr., 2 V. und B.c., Florenz [1779?]
Quintet [40] für Cemb., Fl., V., Va. und Vc. In: 3 Quintetto’s […] 1 by G. Pugnani and 2 by J. S. Schroeter, London [1778-1780], London [um 1786-1798]; als op. 1, Offenbach [1780]
Minuetto [81] für 2 Hr., 2 V., Va. und B.c., Nr. 8 in: Raccolta di 24 minuetti, Venedig [1773?]
Werther, Melodram (um 1791 Turin; 22. März 1796 Wien, Burgtheater), A-Wgm
Sinfonie/Ouvertures, D [14 (= Tamas Kouli-Kan nell’India-Sinfonie)], D-B, RUS-Mcm; D [15], RUS-Mcm; D [16], RUS-Mcm, UA-Knbuv; Es [23], D-B; B [35], RUS-Mcm; B [36], UA-Knbuv; B [37], RUS-Mcm; Ouverture lugubre, UA-Knbuv; Les plaisirs de Coscowa, UA-Knbuv; C, D-MÜs, I-Gl, I-Rdp; D, I-CMis, I-Mc; D, I-Tn; Es, GB-Lam; F, I-GRLsannazzaro; F, UA-Knbuv; B, CH-EN
Märsche »pour le Régiment des Gardes«, 2 Ob., 2 Klar., 2 Fg., 2/4 Hr.: Reale [136], [137] I-Ria, I-Tco; [138], I-Bc, I-Tco
Marche funèbre, Es, I-Tco; D, F, I-Tco; B, I-Gl, I-Tco

Konz. D für 2 V. und StrOrch., I-Tn
Violinkonzerte C, I-CMis; C, S-L; D, CZ-Bm, I-CMis; D, CZ-K; D, D, I-CMis; D, PL-Kp; Es [39], B-Bc, D-Bsa, DK-Kk; E, CZ-K; G, I-Mc (Orchesterstimmen); A, CZ-KRa (Paris [1787-1788]); B, I-GRLsannazzaro; B, I-VEas

3 Quartetti [41-43] für 2 V., Va. und B.c., Amsterdam [1762?], London [1767-1770?], Amsterdam [1769?]; in: 6 Pièces à plusieurs parties, Paris [um 1763-1775]
A Second Sett of 3 Quartets [44-46] für 2 V., Va. und B.c., London [1770]; als op. 13, Paris [1775]
Quartette für 2 V., Va. und B.c., D, Es, Es, I-Rdp

6 Sonate [100-105] für V. und B.c. op. 3, Paris [1761], London [um 1764-1780], Paris [um 1795-1805]; [101/2] in: L’art du violon, hrsg. von Jean-Baptiste Cartier, Paris [1798]
6 Sonates [106-111] für V. und B.c. op. 5, Amsterdam [1768]; als op. 7, London [1768-1769?]; als op. 6, Paris [1769-1770], hrsg. von J.-B. Cartier, Paris [1813?]
6 Solos [112-117] für V. und B.c., London [1772-1775]; als op. 8, Amsterdam [1774]; Paris [1774-1775?]
Duetti für 2 V., F, B, Es, G [124-127], D-Dl; B, F, B, A, C, G, Es [128-134], I-Moe; G [135], CH-Bu; F, I-Gl, I-OS; G, I-Mc
8 Minuetti für 2 V., CH-BEb
Sonaten für V. und B.c., C, D, F-Pn; c-moll, I-OS; D, B-Bc, I-VEas, US-BEm; D, I-Vnm; Es, CZ-BER, N-T; Es, I-GRLsannazzaro; Es, I-OS; G, I-Mc; g-moll, I-OS; B, I-GRLsannazzaro
6 Trio [47-52] für 2 V. und B. c. op. 1, Paris [1761], London [um 1762-1768]; als 6 Easy Sonatas, London [1763-1770?], London [um 1776]; [47] in: 6 Trii [...] 5 composti da S. Ferigo ed 1 di G. Pugnani, London 1760
6 Trios [65-70] für 2 V. und Vc. op. 9, London [1770-1771]; als op. 10, Paris [1774]
6 Trio [80a-f; nur a, d von Pugnani] für 2 V. und B.c. op. 11, Paris [um 1770-1776]; als 6 Divertimentos […] by Pugnani, Vachon, Borghi & Aprile, London [1772]

12 Favourite Minuets [88-96, 99; 97-98 von Celoniati] für Cemb. und 2 V./Fl., London [1768]
Trii/Divertimenti B, F, A [71, 78-79], B-Bc; C [77], B-Bc, D-ROu; G, C [72-73], I-Nc; F, Es, Es [74-76], Gb-Lbl, I-Mc; [76], I-IBborromeo; C, D, I-IBborromeo; D für 2 V./2 Fl. und B.c., Gb-Lbl; D, I-Tn; Es, F, D-MT; Es, I-Rsc; F, I-IBborromeo; F für 2V./2 Fl. und B.c., I-UDRicardi; G, I-Gl; G, B, I-IBborromeo; A, I-GRLsannazzaro
zweifelhaft: 6 Trios [59-64] für 2 V. und B.c., Paris [1770-1771]";;;MGG
PUIATI, Antonio;;Italy;;;;"T. a Martini: ""Dentro la prossima settimana ventura capitaranno costì due giovani signori da me efficacemente raccomandati all’illustrissimo signor dottor Balbi, e a vostra riverenza. Uno di questi è qui adottorato in medicina; si chiama Giuseppe Bertozzi, ed è persona nobile del Friuli. L’altro che si chiama Antonio Puiati, è figlio dell’illustrissimo signor Giuseppe Puiati professore primario di medicina in questo studio […] Sono due giovani onestissimi con talento distinto, e voglia eguale di studiare. Meritano dunque di essere distintamente assistiti, ed io lavorando su‘l sicuro per ambedue le parti, mi son preso la libertà di accompagnarli con due mie lettere, una a vostra riverenza, l’altra all’illustrissimo Balbi, a cui vostra riverenza faccia veder questa mia, acciò sia prevenuto, e sappia inanzi chi siano e perché raccomandati""";;;;p. 259;;;;;;;;;;;"DOUNIAS, 1935; CAPRI, 1945, p. 389";;;;;;;
PUPPO, Giuseppe;1749-1818 [1827];Lucca (Italy);"Napoli; Parigi; Spagna; Portogallo; Inghilterra; Scozia; Irlanda; Firenze";;allievo di Fortini;;;"""M. Puppo se dit élève de Tartini; mais M. Lahoussaye vient de nous affirmer le contraire"" (cfr. FAYOLLE); ""Puppo vantavasi d'essere allievo di Tartini; e non l'era"", Biografia universale antica e moderna, p. 339";X;;EIT;RIE;;;;FET;;DUM;;DBI;"nacuzi.com; GMM";;;;"1 capriccio für V. (1814); letztes einer verlorenen Slg. von 18 capricci, I-Baf
3 duos für 2 V., P. o.?J.
1 esercizio für V.
8 études für V., P. o.?J.
6 fantaisies für V. und Kl., P. o.?J.
2 Konz. für V. und Orch., P. o.?J.";1 Art., in: Spectateur français, P. o.?J. (Ms. I-Baf);;MGG
religioso polacco;;;;;;;;;;p. 310;;;;;;;;;;;;;;;;;;
RYHINER, Achilles;1731-1788;Basel (Switzerland);;1758;;;"""Monsieur Tartini ( ... ) m'a assuré que , malgré que pendant sa vie il ait jusqu'à présent étudié sans discontinuer à rechercher le véritable goût du violon , il n'y avait cependant pas encore longtemps qu'il avait réussi ; que dans sa jeunesse il avait cru que""  ""je (= Ryhiner) ne sais ce qui me merita une amitié toutte particuliere de cet homme; il auroit eu[s] plaisir & m'enseigner. il me fit jouer devant lui un solo tout a fait facile, sans m'accompagner; il voulut m'entendre tout seul; il suivoit chaque note avec les yeux; après que je l'(e)u[s] joub aussi uniment et aussi net que je pus, il eut la bontè de me louer sur les belles disposition(s) que j'avois pour cet instrument et mAime generalement a ce qu'il voioit pour la musique"", A.Ryhiner, Journal de voyage II, p. 49";"Feci […] amicizia particolare, ma solo verso la fine del mio soggiorno a Padova, col famoso violinista signor Tartini. […] [affermò che] “il solo e vero buon gusto è un suono semplice, chiaro, sonabile per un verso e cantabile per l'altro. Una pausa (soupir), un trillo (tremblement), un’appoggiatura (portevois), un colpo d'arco staccato, un altro legato, un mordente (pincé), infine tutte queste differenti maniere di variare il suono possono essere impiegate a tempo e luogo, ed anzi è necessario per conferire espressione a ciò che si suona, ma non bisogna servirsene che là dove è assolutamente necessario per mettere in maggiore evidenza la semplicità dei suoni uniformi, cantanti. Vi sono brani che bisogna assolutamente eseguire [nel modo] sonabile ed altri cantabile; questi ultimi, che lusingano l'orecchio più degli altri sono di conseguenza giudicati più raffinati ancora dello stesso [stile di] buon gusto [...]”. RYHINER, Achilles (trad. S. Durante)";;;;;;;;;;;;;"Dizionario storico della Svizzera (DSS); Margherita Canale Degrassi, in Ad Parnassum p. 113";;;;;;;
ROBERTI DEGLI ALMERI, Andrea;1730-?;Marche (Italy);;;padre Martini;;;;;;EIT;;;;;;;;;;"Tesi Margherita Canale, p. 10, 11; DOUNIAS, 1935; CAPRI, 1945; G.TEBALDINI, L’Archivio musicale della Cappella Antoniana di Padova, Tipografia e Libreria Antoniana, 1895, pp.79-80. La lettera si trova in I-Pca Ms. D.VI 1894, tramite tesi Canale, p. 11. Staehelin";;;;;;;
ROTHFISCHER, [Johann] Paul;1727-post 1791;Altmannstein (Germany);Regensburg, Prag, Kirchheimbolanden, Zurich, Winterthur;;;;;"Rothfischer ""plays well in his way (a little bit in the old-fashioned Tartini manner)"", cfr. The letters of Mozart, p. 607";;;EIT;;;;;;;;;;"DOUNIAS, 1935; CAPRI, 1945, p. 389";;;;;;;
RUST, Friedrich Wilhelm;1739-1796;Wörlitz (Germany);Dessau;1765;"allievo di W.F.Bach, Pugnani, G. Benda; perfezionatosi con L. Benda e C.Ph. Bach; conobbe Goethe. Negli anni 1765-1766 venne in Italia al seguito del principe Leopoldo III di Anhalt-Dessau";;;;X;;EIT;RIE;MGG;;;;;;DEU;;"Friedrich Wilhelm Rust: nebst einer kurzen Darstellung seines Lebens und seiner Manier, 1801;  DOUNIAS, 1935; [CAPRI, 1945, p. 389]";;"2 Son. für Kl., 2 V. und Vc. (1775), C109/110
Trio für 2 Fl. und Va. d’amore (um 1785), C105, W
Trio für 2 V. und B.c., C106
Son. für V., Va. und Vc., C107
25 Son. für Kl. und V. obl., C26–50, 1 in W";2 Son. für Va., 2 Hr. und Vc. C84 und 94;"Geburtstagskant. für die Prinzessin Casimie für Frauenst., 2 Fl.. 2 Hr. und Str. (1769)
Einweihungskant. für das Schloß Wörlitz (1773)
»Allgnädiger in allen Höhen« (1785)
»Gross ist der Herr« (1791)
»Gott ist die Liebe« (1792)
»Gott unser Vater« (1794)

2 Arien, in: Die Muse, Lpz. 1776/77
Oden und Lieder, Bd.?1, Dessau/Lpz. 1784; Bd.?2, Lpz. 1796
weitere Chorwerke, Lieder und Arien in Anthologien und Zss. 1779–1799

Inkle und Yariko (Johann Friedrich Schink), Duodrama 2 Akte (28. Juli 1777 Dessau)
Der blaue Montag (T.?B. Berger), Operette (1777 Dessau)
Colma (nach Ossian), Monodrama (1777 Dessau?)
Fingal und Lochlin, Schauspielmusik (1778 Dessau)
Inamorulla, dass. (1778 Dessau)
Korylas und Lalage, Pastorale (1786)

W.?Rust, Werke für Kl. und Streichinstrumente, hrsg. von R.?Czach, Wfbl. 1939 [= EdM, R. 2: Mitteldeutschland 1]; auf diese Edition wird mit W im Anschluß an die C-Numerierung verwiesen)

18 Son., C8–25, davon 1 4-hd., 2 in W
24 Var. über Blühe liebes Veilchen, Dessau 1782, C3
Allegretto con Variazioni, Bln. [1791], C1
12 Var. über Blühe liebes Veilchen (1794), C4, W
Suite, C6
Serenade für StrQu., C108
Qu. für Nagelgeige, 2 V. und Baß (1787) C111, W
24 Son. für V. und Kl. acc., C51–71 und 73–75
3 Son. für V. solo, C80/8 und 83, 1 in W als Partite
7 Duette für 2 V., C76–82, 2 in W
2 Son. für Va., C89 und 91
6 Son. für Va. d’amore, C85–88 und 92/93
Son. für Vc. und B.c., C95
5 Son. für Lt., C96–100, davon 4 mit V. und 1 mit Va.
4 Son. für Cemb., C101–104, davon 1 mit V. sowie 1 mit V. und Vc.";;;MGG
SALIERI, Francesco;1741-1826;Legnago (Italy);;;;;;"""Francesco Salieri, un des meilleurs élèves de Tartini"", La Grande Encyclopédie";X;;;;;;;;;;;;;;;;"Sinfonia di Francesco Salieri con corni da caccia
""Di Strida, e di Nitriti"" Aria col Corno Obbligato

";;RISM;
SALVINI, [Filippo];;Italy;;;;;;;;;;;;;;;;;;;POLIN, Tartini dopo Tartini;;;;;;;
SBERTI, Antonio Bonaventura;1732-1816;Italy;;;Vincenzo Rota;;;"according to the memoirs of the Paduan musician Antonio Bonaventura Sberti (1814), Stratico was an ""insigne aluno del gran Tartini""";;;;;;;;;;;;;Jane L. Berdes, L'ultima allieva di Tartini: Maddalena Lombardini Sirmen, in Tartini - Il tempo e le opere, a cura di Andrea Bombi e Maria Nevilla Massaro, Bologna, Il Mulino, 1994, p. 217.;Autore di un'autobiografia contenente molte informazioni su T. Dona a Giacomo Ziliotto svariata musica tra cui opere di T.;;;;;;
SCHELF(F), Bernard;;Arolsen (Germany);;1739-1740;Inviato dal conte di Waldeck (Karl August Friederich) a Padova per studiare con T.;"T. a Schuchardt: ""Illustrissimo signore signore e padrone colendissimo, devo avvisare vostra signoria illustrissima di quanto mi succede del signor Bernardo, acciò lo faccia sapere a sua altezza serenissima. Il denaro ultimo consistente in sessantaquattro zechini appena ha bastato per pagar li di lui debiti e soli otto zechini sono avanzati. Avisai di ciò sua eccellenza maresciallo di Schulemburgh, e lo pregai raccomandar il signor Bernardo a qualche suo corrispondente di Vienna, acciò ivi fosse assistito, e raccolto, sino che dal serenissimo padrone gli fosse soministrato altro denaro per compir il suo viaggio; ma ebbi per risposta, che sua eccellenza non voleva alcun impegno, né scrivere a chi si sia, e che io insinuassi al giovane, che consegnate le sue robbe a qualche carrettone che andasse in Germania, egli si mettesse in viaggio a piedi. Io per verità feci l’ambasciata al giovane con sommo rincrescimento, perché mi prevedevo ciò, ch’è succeduto, cioè che il giovane si sarebbe perduto di animo credendosi quasi abandonato dal padrone, e non sapendo che si fare, o trattenersi qui, o proccacciarsi altrove il suo mantenimento. Infatti ieri partì per Mantova con impegno (mi disse) di ritornarsene; ma io credo piuttosto che vi sia andato per guadagnar qualche cosa. Insomma io l’ho veduto molto agitato, né so cosa succederà del medemo. Mi stimo perciò in dovere di avvisar vostra signoria illustrissima per mia indennità appresso sua altezza serenissima, a cui piedi umilio tutto me stesso, e a cui ho procurato obedire con tutta l’attenzione, assicurandola che il signor Bernardo è riuscito uno de’ migliori scolari che io abbia avuto, e perciò tanto più mi dispiace il caso presente, quantoché avevo gloria di esser ben riuscito nella mia obedienza. Rassegno a vostra signoria illustrissima li miei rispetti, e mi dichiaro [...] / T. a Schuchardt: ""Illustrissimo signore signore e padrone colendissimo, doppo tanti travagli avuti per li miei scolari tedeschi, senta vostra signoria illustrissima quest’ultimo, che avanza di molto tutti gli altri. Il signor Bernardo Schelf o è per passare; o è passato a quest’ora alla nostra religione. Lo so di certo, non perché egli sia qui, ma perché da cavalieri, e religiosi padovani è stato propposto al servizio della capella di san Antonio, dove son io, e sono stati officiati tutti li presidenti dell’Arca del Santo, acciò sia ricevuto. Il nostro maestro di cappella me lo ha detto, et io immediatamente son andato a prottestarmi al capo de’ presidenti, che se sarà ricevuto il signor Bernardo al Santo, assolutamente nello stesso punto partirò io da Padova. E infallibilmente così farò, quando egli venga accettato, volendo io mostrar publicamente, che non solo non ho parte alcuna in questo affare ma anzi son publicamente contrario. Ho fatto di tutto per saper dove sia il giovane, ma sinora nulla mi è riuscito, perché quel cavaliere padoano, che lo ha preso a prottegere, prottesta che no’l sa nemen lui, ma questo è evidentemente falso, perché se no’l sapesse, come lo avrebbe propposto al serviggio del Santo? Io ho contrastato  col medemo sino quasi a perderli il rispetto, ma finalmente egli è cavaliere, et io son suonatore di violino. In tal caso per mia pontualità non solo ne do parte a vostra signoria illustrissima, acciò
legga questa mia a sua eccellenza Padrone, ma dippiù la suplico premurosissimamente inviar la qui acclusa al signor segretario di sua altezza di Waldek, a cui do notizia di tutto ciò, che qui mi succede. Io ho avuto tanti scolari di diversa religione senza che mai nemen per
sogno mi sia accaduto cos’alcuna; perché so abbastanza il viver del mondo. Ora la mia fatalità vuole, che per questo io abbia d’avere il maggior disturbo di quanti ne abbia avuti in mia vita. Per me il motivo di questo trasporto nel signor Bernardo lo credo o meza disperazione, credendosi quasi abandonato (ma falsamente) dal suo padrone, o qualche impegno secreto di matrimonio. Ma nulla posso accertare, perché sinora non so più di così. Intanto sappia il tutto sua eccellenza padrone, e lo sappia sua altezza, appresso a cui suplicarò sua eccellenza essermi in difesa non solo, ma in vero testimonio della mia pontualità, e della verità, che le scrivo, e che è publica per Padoa, cioè, che se sarà ricevuto il signor Bernardo al Santo, nello stesso giorno partirò io da Padoa per non tornar mai più. Sua eccellenza si degni darmi qualche consiglio di ciò, che devo far dippiù, mentre io per me son tanto confuso e stordito, che non so più dove sono né che mi faccia, mentre rassegnandole li miei umilissimi rispetti, mi protesto sempre più [...]""";;;;p. 140,141,142,143, 146;;;MGG;;;;;;;;"White, 1992: p. 182; [PETROBELLI 1968, p. 135]
[PETROBELLI, 1992, p. 19; 86]";;;;;;;
SCHMITT, Lorenz Joseph;1731-1796;Obertheres, Würzburg (Germany);;1757;Alla corte del principe Adam Friederich di Würzburg;;;;;;EIT;;;;;;;;;;"DOUNIAS, 1935; [CAPRI, 1945, p. 390]; [PETROBELLI, 1992, p. 91]";;;;;;;
SCHWARZMANN, Franz;1728-1803;Salzburg (Austria);;1757;;;;;;;;;;;;;;;;;"MARPURG, 1757; ZASLAW, 1989";;;;;;;
SIGNORETTI, Giuseppe;;Italy;Parigi 1770;;;;;;X;;;;;;;;;DUM;;;"WASIELEWSKI, 1869; DOUNIAS, 1935; ";;;;"6 Quartetti a due violini, alto e basso (1773)
6 Sonate a violino solo e basso, o cembalo
";;RISM;
STAMITZ, [Johann?];;Deutschbrod (Germany);;;;;;;;;;;;;;;;;;;;;;;;;;
STRATICO, [Giuseppe] Michele;1721 [1728]-1782 [1783];Zara (Dalmatia);"Padova; Sanguinetto (Verona)";1745-50;;"T. ad Algarotti: ""È verissimo, che intanto possono correr anni et io invecchiare, o morire. Ma nemmen questo è obietto, perché qui in Padova vi è un giovane dilettante mio scolare (si chiama Michiele Straticò, et è persona civile assai) che in mia mancanza potrebbe esser scielto maestro del giovane destinato. È certissimo, che se ben nato tale, non direbbe di no ad un tal monarca; et è certissimo, che nel suonare e comporre è famoso, è distinto fra tutti li miei scolari, perché possiede l’anima intiera della mia scuola. Insomma la mia ragionevole superbia vuole, che ad ogni patto io abbia il vantaggio di far sentire la mia musica ben eseguita a cotesto monarca; però la supplico d’interessarsene con qualche premura, giacché mi lusinga, che anch’ella ne avrebbe onore. [...]"" / ";;Die Musik Straticos weist fast alle Stilmerkmale Tartinis auf (MGG). Ne parla Giordano Riccati in Memorie sul violinista Tartini, in Il Santo 9/3 (1969), pp. 407-423;X;"p. 184; 270, 271, 272, 274, 275, 276, 277";;;;NGD;;;;;;;;allievo di Tartini secondo Sberti e Riccati;ca. 50 Trioson. ;;"Sei sonate für V. und Vc./Cemb. (»composte dal Sigr. Michele Stratico e dal medmo dedicate a sua eccellenza il Sigr. Girolamo Co: Lion Cavazza, Palmio Veneto«) op.?1, L. um 1763
ca. 170 Son. für V.
35 Symph.; 4 Symph. hrsg. von S.?Šulek, Zagreb 1980
6 StrQu. (concertini a quartetto)
15 Duos für V.
61 Konz. für V.
2 Konz. für 2 V. und Orch.";"Trattato di musica (9 Fassungen), I-Vnm
Lo spirito tartiniano, I-Vnm";;MGG
STROMBA, Giacoma (Giacomina);;Venice (Italy);Venezia - Ospedale degli Incurabili;;;;;"""Merita del pari spezial menzione una sorprendente suonatrice che vi fu del violino Giacomina Stromba in cui il gran Tartini avea trasfusa gran parte dell'immensa sua perizia, a grado d'esser chiamata a dilettar del suo suono, e più volte, i coronati ospiti della Repubblica"", cfr. Emmanuele Antonio Cicogna, Delle Inscrizioni Veneziane Raccolte Ed Illvstrate da Emmanuele Antonio Cigogna, Volume 5, 1842; ""si ricorda tra le figlie la Giacomina Stromba, ch’ebbe dal gran Tartini trasfusa gran parte della immensa di lui perizia nel suono del violino , e che suonò più volte al cospetto dei Dogi."" cfr. Pierluigi Bembo, Delle istituzioni di Beneficenza nella citta? e provincia di Venezia : studii storico-economico-statistici, Venezia, Naratovich, 1859";;;;;;;;;;;;;"DOUNIAS, 1935; CAPRI, 1945, p. 41, 390";"Era agli Incurabili di Venezia (poi insegnante di violino e di canto). ""Maria Teresa Tagliavacca est nommée maestra di coro en 1736 (1767 selon d'autres sources, mais la date paraît tardive), et occupe ce poste près d'une quarantaine d'années, avec ensuite l'aide de la contralto Nicolini et de l'excellente violoniste Giacomina Stromba, héritière de Tartini. Prieure, elle supplie l'administration de bien vouloir la rétribuer davantage pour ses activités d'enseignante. On entend encore parler d'aller après 1780. Elle est la dernière grande enseignante de chant des Incurabili, qui font faillite."". Allieva di Tartini secondo Caffi";;;;;;
TAFFADORO, Nicola;;Italy;;;;;;;;;;;;;;;;;;;"FORNO, 1792; [CAPRI, 1945, p. 390];";;;;;;;
TERNI, Giulio di ;;Italy;;;;;;;;;;;;;;;;;;;"BURNEY; DOUNIAS, 1935; CAPRI, 1945, p. 386";;;;;;;
TIBALDI, Giuseppe Luigi;1729?post 1790;Bologna (Italy);"Amsterdam, Barcellona, Dresda, Monaco; Vienna; Milano; Napoli";;Studiò con Domenico Zanardi e padre Martini;"T. a Martini: ""Molto reverendo padre padrone colendissimo, dal signor Giuseppe Tibaldi ho ricevuto una benignissima di vostra riverenza, che me’l raccomanda. Ella s’immagini una cosa verissima, ed è che desideravo di conoscer questo degnissimo virtuoso molto innanzi la lettera di vostra riverenza. Poi s’immagini che lo abbia conosciuto la prima volta come scolare di vostra riverenza, e che con una di lei lettera che me ‘l raccomanda. Così appresso a poco vostra riverenza potrà formar una giusta idea del mio piacere di averlo conosciuto, e dell’interesse e premura cordiale che ho, e avrò per lui. Egli è tale che ovunque vada, si raccomanda per sé. Pure ardisco di desiderare che benché tale egli sia, nasca la occasione che mi giovi a spiegar seco lui, e con vostra riverenza il mio cuore co ‘l fatto, e non con le parole. Intanto la ringrazio quanto mai se e posso per l’incomodo benignamente sofferto di ricever quanto le ho addirizzato del signor Nardini, e di doverlo rimettere in Firenze al signor dottor Bertini. Piaccia a Dio che anch’io possa per qualche cosa per vostra riverenza, che infinitamente amo e stimo, ma a buon conto per ora altro non posso fare se non che dirle, che Iddio la rimeriti. [...]""";;;X;p. 32, 297;EIT;;;;GMO;FET;;DUM;;;Howard Brofsky, Tibaldi, Giuseppe (Luigi);;;;"Audi benigne conditor
""Ridet caelum astra micant"" Aria ex B. a canto solo, violino primo, violino2do, alto viola, clarino 2ndo, col basso
Nel fuoco d'amore
Languir d'amore crudel mi vedi
""Non ho più pace al core"" Canone a 2 ";;RISM;
TOESCHI, [Carlo] Giuseppe;1731-1788;Romagna or Padova or Ludwigsburg or Stuttgart;"Mannheim; Monaco";;;;;;;;;;;;;;;;;;NEGRI, 1994;"""[...] un concerto per violino ed archi scritto a ""quattro mani"" da Tartini e Giuseppe Toeschi (1731-1788), probabilmente un allievo dello stesso Tartini"", cfr. NEGRI";;;;;;
